event,op,block,cycle_from_top
sfu_start,1,23,56020
sfu_done,1,23,56480
vpu_done,1,23,56482
matrix_start,0,24,56686
matrix_done,1,22,56686
vpu_start,2,23,56687
matrix_done,0,24,57514
vpu_done,2,23,58320
matrix_start,1,23,58321
vpu_start,0,24,58322
vpu_done,0,24,58425
sfu_start,0,24,58427
sfu_done,0,24,58480
vpu_start,1,24,58482
sfu_start,1,24,58483
sfu_done,1,24,58943
vpu_done,1,24,58945
matrix_start,0,25,59149
matrix_done,1,23,59149
vpu_start,2,24,59150
matrix_done,0,25,59977
vpu_done,2,24,60783
matrix_start,1,24,60784
vpu_start,0,25,60785
vpu_done,0,25,60888
sfu_start,0,25,60890
sfu_done,0,25,60943
vpu_start,1,25,60945
sfu_start,1,25,60946
sfu_done,1,25,61406
vpu_done,1,25,61408
matrix_start,0,26,61612
matrix_done,1,24,61612
vpu_start,2,25,61613
matrix_done,0,26,62440
vpu_done,2,25,63246
matrix_start,1,25,63247
vpu_start,0,26,63248
vpu_done,0,26,63351
sfu_start,0,26,63353
sfu_done,0,26,63406
vpu_start,1,26,63408
sfu_start,1,26,63409
sfu_done,1,26,63869
vpu_done,1,26,63871
matrix_start,0,27,64075
matrix_done,1,25,64075
vpu_start,2,26,64076
matrix_done,0,27,64903
vpu_done,2,26,65709
matrix_start,1,26,65710
vpu_start,0,27,65711
vpu_done,0,27,65814
sfu_start,0,27,65816
sfu_done,0,27,65869
vpu_start,1,27,65871
sfu_start,1,27,65872
sfu_done,1,27,66332
vpu_done,1,27,66334
matrix_start,0,28,66538
matrix_done,1,26,66538
vpu_start,2,27,66539
matrix_done,0,28,67366
vpu_done,2,27,68172
matrix_start,1,27,68173
vpu_start,0,28,68174
vpu_done,0,28,68277
sfu_start,0,28,68279
sfu_done,0,28,68332
vpu_start,1,28,68334
sfu_start,1,28,68335
sfu_done,1,28,68795
vpu_done,1,28,68797
matrix_start,0,29,69001
matrix_done,1,27,69001
vpu_start,2,28,69002
matrix_done,0,29,69829
vpu_done,2,28,70635
matrix_start,1,28,70636
vpu_start,0,29,70637
vpu_done,0,29,70740
sfu_start,0,29,70742
sfu_done,0,29,70795
vpu_start,1,29,70797
sfu_start,1,29,70798
sfu_done,1,29,71258
vpu_done,1,29,71260
matrix_start,0,30,71464
matrix_done,1,28,71464
vpu_start,2,29,71465
matrix_done,0,30,72292
vpu_done,2,29,73098
matrix_start,1,29,73099
vpu_start,0,30,73100
vpu_done,0,30,73203
sfu_start,0,30,73205
sfu_done,0,30,73258
vpu_start,1,30,73260
sfu_start,1,30,73261
sfu_done,1,30,73721
vpu_done,1,30,73723
matrix_start,0,31,73927
matrix_done,1,29,73927
vpu_start,2,30,73928
matrix_done,0,31,74755
vpu_done,2,30,75561
matrix_start,1,30,75562
vpu_start,0,31,75563
vpu_done,0,31,75666
sfu_start,0,31,75668
sfu_done,0,31,75721
vpu_start,1,31,75723
sfu_start,1,31,75724
sfu_done,1,31,76184
vpu_done,1,31,76186
matrix_start,0,32,76390
matrix_done,1,30,76390
vpu_start,2,31,76391
matrix_done,0,32,77218
vpu_done,2,31,78024
matrix_start,1,31,78025
vpu_start,0,32,78026
vpu_done,0,32,78129
sfu_start,0,32,78131
sfu_done,0,32,78184
vpu_start,1,32,78186
sfu_start,1,32,78187
sfu_done,1,32,78647
vpu_done,1,32,78649
matrix_start,0,33,78853
matrix_done,1,31,78853
vpu_start,2,32,78854
matrix_done,0,33,79681
vpu_done,2,32,80487
matrix_start,1,32,80488
vpu_start,0,33,80489
vpu_done,0,33,80592
sfu_start,0,33,80594
sfu_done,0,33,80647
vpu_start,1,33,80649
sfu_start,1,33,80650
sfu_done,1,33,81110
vpu_done,1,33,81112
matrix_start,0,34,81316
matrix_done,1,32,81316
vpu_start,2,33,81317
matrix_done,0,34,82144
vpu_done,2,33,82950
matrix_start,1,33,82951
vpu_start,0,34,82952
vpu_done,0,34,83055
sfu_start,0,34,83057
sfu_done,0,34,83110
vpu_start,1,34,83112
sfu_start,1,34,83113
sfu_done,1,34,83573
vpu_done,1,34,83575
matrix_start,0,35,83779
matrix_done,1,33,83779
vpu_start,2,34,83780
matrix_done,0,35,84607
vpu_done,2,34,85413
matrix_start,1,34,85414
vpu_start,0,35,85415
vpu_done,0,35,85518
sfu_start,0,35,85520
sfu_done,0,35,85573
vpu_start,1,35,85575
sfu_start,1,35,85576
sfu_done,1,35,86036
vpu_done,1,35,86038
matrix_start,0,36,86242
matrix_done,1,34,86242
vpu_start,2,35,86243
matrix_done,0,36,87070
vpu_done,2,35,87876
matrix_start,1,35,87877
vpu_start,0,36,87878
vpu_done,0,36,87981
sfu_start,0,36,87983
sfu_done,0,36,88036
vpu_start,1,36,88038
sfu_start,1,36,88039
sfu_done,1,36,88499
vpu_done,1,36,88501
matrix_start,0,37,88705
matrix_done,1,35,88705
vpu_start,2,36,88706
matrix_done,0,37,89533
vpu_done,2,36,90339
matrix_start,1,36,90340
vpu_start,0,37,90341
vpu_done,0,37,90444
sfu_start,0,37,90446
sfu_done,0,37,90499
vpu_start,1,37,90501
sfu_start,1,37,90502
sfu_done,1,37,90962
vpu_done,1,37,90964
matrix_start,0,38,91168
matrix_done,1,36,91168
vpu_start,2,37,91169
matrix_done,0,38,91996
vpu_done,2,37,92802
matrix_start,1,37,92803
vpu_start,0,38,92804
vpu_done,0,38,92907
sfu_start,0,38,92909
sfu_done,0,38,92962
vpu_start,1,38,92964
sfu_start,1,38,92965
sfu_done,1,38,93425
vpu_done,1,38,93427
matrix_start,0,39,93631
matrix_done,1,37,93631
vpu_start,2,38,93632
matrix_done,0,39,94459
vpu_done,2,38,95265
matrix_start,1,38,95266
vpu_start,0,39,95267
vpu_done,0,39,95370
sfu_start,0,39,95372
sfu_done,0,39,95425
vpu_start,1,39,95427
sfu_start,1,39,95428
sfu_done,1,39,95888
vpu_done,1,39,95890
matrix_start,0,40,96094
matrix_done,1,38,96094
vpu_start,2,39,96095
matrix_done,0,40,96922
vpu_done,2,39,97728
matrix_start,1,39,97729
vpu_start,0,40,97730
vpu_done,0,40,97833
sfu_start,0,40,97835
sfu_done,0,40,97888
vpu_start,1,40,97890
sfu_start,1,40,97891
sfu_done,1,40,98351
vpu_done,1,40,98353
matrix_start,0,41,98557
matrix_done,1,39,98557
vpu_start,2,40,98558
matrix_done,0,41,99385
vpu_done,2,40,100191
matrix_start,1,40,100192
vpu_start,0,41,100193
vpu_done,0,41,100296
sfu_start,0,41,100298
sfu_done,0,41,100351
vpu_start,1,41,100353
sfu_start,1,41,100354
sfu_done,1,41,100814
vpu_done,1,41,100816
matrix_start,0,42,101020
matrix_done,1,40,101020
vpu_start,2,41,101021
matrix_done,0,42,101848
vpu_done,2,41,102654
matrix_start,1,41,102655
vpu_start,0,42,102656
vpu_done,0,42,102759
sfu_start,0,42,102761
sfu_done,0,42,102814
vpu_start,1,42,102816
sfu_start,1,42,102817
sfu_done,1,42,103277
vpu_done,1,42,103279
matrix_start,0,43,103483
matrix_done,1,41,103483
vpu_start,2,42,103484
matrix_done,0,43,104311
vpu_done,2,42,105117
matrix_start,1,42,105118
vpu_start,0,43,105119
vpu_done,0,43,105222
sfu_start,0,43,105224
sfu_done,0,43,105277
vpu_start,1,43,105279
sfu_start,1,43,105280
sfu_done,1,43,105740
vpu_done,1,43,105742
matrix_start,0,44,105946
matrix_done,1,42,105946
vpu_start,2,43,105947
matrix_done,0,44,106774
vpu_done,2,43,107580
matrix_start,1,43,107581
vpu_start,0,44,107582
vpu_done,0,44,107685
sfu_start,0,44,107687
sfu_done,0,44,107740
vpu_start,1,44,107742
sfu_start,1,44,107743
sfu_done,1,44,108203
vpu_done,1,44,108205
matrix_start,0,45,108409
matrix_done,1,43,108409
vpu_start,2,44,108410
matrix_done,0,45,109237
vpu_done,2,44,110043
matrix_start,1,44,110044
vpu_start,0,45,110045
vpu_done,0,45,110148
sfu_start,0,45,110150
sfu_done,0,45,110203
vpu_start,1,45,110205
sfu_start,1,45,110206
sfu_done,1,45,110666
vpu_done,1,45,110668
matrix_start,0,46,110872
matrix_done,1,44,110872
vpu_start,2,45,110873
matrix_done,0,46,111700
vpu_done,2,45,112506
matrix_start,1,45,112507
vpu_start,0,46,112508
vpu_done,0,46,112611
sfu_start,0,46,112613
sfu_done,0,46,112666
vpu_start,1,46,112668
sfu_start,1,46,112669
sfu_done,1,46,113129
vpu_done,1,46,113131
matrix_start,0,47,113335
matrix_done,1,45,113335
vpu_start,2,46,113336
matrix_done,0,47,114163
vpu_done,2,46,114969
matrix_start,1,46,114970
vpu_start,0,47,114971
vpu_done,0,47,115074
sfu_start,0,47,115076
sfu_done,0,47,115129
vpu_start,1,47,115131
sfu_start,1,47,115132
sfu_done,1,47,115592
vpu_done,1,47,115594
matrix_start,0,48,115798
matrix_done,1,46,115798
vpu_start,2,47,115799
matrix_done,0,48,116626
vpu_done,2,47,117432
matrix_start,1,47,117433
vpu_start,0,48,117434
vpu_done,0,48,117537
sfu_start,0,48,117539
sfu_done,0,48,117592
vpu_start,1,48,117594
sfu_start,1,48,117595
sfu_done,1,48,118055
vpu_done,1,48,118057
matrix_start,0,49,118261
matrix_done,1,47,118261
vpu_start,2,48,118262
matrix_done,0,49,119089
vpu_done,2,48,119895
matrix_start,1,48,119896
vpu_start,0,49,119897
vpu_done,0,49,120000
sfu_start,0,49,120002
sfu_done,0,49,120055
vpu_start,1,49,120057
sfu_start,1,49,120058
sfu_done,1,49,120518
vpu_done,1,49,120520
matrix_start,0,50,120724
matrix_done,1,48,120724
vpu_start,2,49,120725
matrix_done,0,50,121552
vpu_done,2,49,122358
matrix_start,1,49,122359
vpu_start,0,50,122360
vpu_done,0,50,122463
sfu_start,0,50,122465
sfu_done,0,50,122518
vpu_start,1,50,122520
sfu_start,1,50,122521
sfu_done,1,50,122981
vpu_done,1,50,122983
matrix_start,0,51,123187
matrix_done,1,49,123187
vpu_start,2,50,123188
matrix_done,0,51,124015
vpu_done,2,50,124821
matrix_start,1,50,124822
vpu_start,0,51,124823
vpu_done,0,51,124926
sfu_start,0,51,124928
sfu_done,0,51,124981
vpu_start,1,51,124983
sfu_start,1,51,124984
sfu_done,1,51,125444
vpu_done,1,51,125446
matrix_start,0,52,125650
matrix_done,1,50,125650
vpu_start,2,51,125651
matrix_done,0,52,126478
vpu_done,2,51,127284
matrix_start,1,51,127285
vpu_start,0,52,127286
vpu_done,0,52,127389
sfu_start,0,52,127391
sfu_done,0,52,127444
vpu_start,1,52,127446
sfu_start,1,52,127447
sfu_done,1,52,127907
vpu_done,1,52,127909
matrix_start,0,53,128113
matrix_done,1,51,128113
vpu_start,2,52,128114
matrix_done,0,53,128941
vpu_done,2,52,129747
matrix_start,1,52,129748
vpu_start,0,53,129749
vpu_done,0,53,129852
sfu_start,0,53,129854
sfu_done,0,53,129907
vpu_start,1,53,129909
sfu_start,1,53,129910
sfu_done,1,53,130370
vpu_done,1,53,130372
matrix_start,0,54,130576
matrix_done,1,52,130576
vpu_start,2,53,130577
matrix_done,0,54,131404
vpu_done,2,53,132210
matrix_start,1,53,132211
vpu_start,0,54,132212
vpu_done,0,54,132315
sfu_start,0,54,132317
sfu_done,0,54,132370
vpu_start,1,54,132372
sfu_start,1,54,132373
sfu_done,1,54,132833
vpu_done,1,54,132835
matrix_done,1,53,133039
vpu_start,2,54,133040
vpu_done,2,54,134673
matrix_start,1,54,134674
matrix_done,1,54,135502
sfu_start,2,54,135503
sfu_done,2,54,135556
vpu_start,3,54,135558
vpu_done,3,54,136375
attention_done,0,0,136376
